# Kernel-level ECDSA timing (CLOCK_MONOTONIC_RAW)
# idx|gen_ns|del_ns|keygen_ns(gen-del)
224|66511979|22740416|43771563
225|48374896|18007031|30367865
226|83613437|15649739|67963698
227|76666771|18900937|57765834
228|59956146|23120729|36835417
229|96892552|24277969|72614583
230|52531250|15086719|37444531
231|59480625|18921823|40558802
232|69941875|22095052|47846823
233|71433124|18020260|53412864
234|68317500|26823854|41493646
235|57838073|23491042|34347031
236|43039114|24898281|18140833
237|76596146|23319531|53276615
238|94333281|17396718|76936563
239|67538385|22992656|44545729
240|76102031|26580886|49521145
241|65581563|18570313|47011250
242|50017344|14789375|35227969
243|57110052|15635156|41474896
244|75911406|21267500|54643906
245|124165937|22755469|101410468
246|138487656|16838437|121649219
247|58017032|32326250|25690782
248|65413750|28445833|36967917
249|56712187|16288281|40423906
250|62467031|26318230|36148801
251|51242291|24046511|27195780
252|70758854|20105156|50653698
253|81510469|22597292|58913177
254|131469791|24285938|107183853
255|45502969|26703593|18799376
256|59190365|15244843|43945522
257|51263073|23943593|27319480
258|67049010|12668125|54380885
259|62264947|24820885|37444062
260|135926875|22123750|113803125
261|47554792|16397344|31157448
262|61562239|17665990|43896249
263|88641927|18961250|69680677
264|118977812|25327968|93649844
265|176332656|25549427|150783229
266|63719062|18535365|45183697
267|74591718|22481875|52109843
268|45140417|19865260|25275157
269|62010521|13957083|48053438
270|45116719|18897969|26218750
271|66487344|17298750|49188594
272|86315053|28555312|57759741
273|102849531|26886146|75963385
274|53531146|18182812|35348334
275|42171041|17518282|24652759
276|88585834|16217291|72368543
277|70405000|30680208|39724792
278|37902865|25586718|12316147
279|66885000|31717916|35167084
280|39795053|33630208|6164845
281|115360364|33096094|82264270
282|44720052|40213281|4506771
283|66074427|35731563|30342864
284|107700312|41570886|66129426
285|65636250|32702396|32933854
286|107094375|33642344|73452031
287|58413281|25985313|32427968
288|45516250|33267396|12248854
289|106536406|35751094|70785312
290|66286719|23459531|42827188
291|53996875|28058438|25938437
292|62817343|36262812|26554531
293|57195000|27204011|29990989
294|59414740|32596042|26818698
295|88993281|28590833|60402448
296|55069896|31942656|23127240
297|124925000|32420938|92504062
298|70805521|31905365|38900156
299|51060000|27349844|23710156
300|140540781|35514375|105026406
301|128078386|33901719|94176667
